IssueDate,StartDate,EndDate,certificateNumber,fee,NPOName,LocName,LicenseClass,SubClass,Description,AddrStreet,AddrZip
10/25/2013,11/30/2013,12/01/2013,62689,$50.00,"Station North Arts & Entertainment, Inc.",WEEKLY FLEA MARKET,LS,BWL,"Beer, Wine, & Liquor",1500 N. CHARLES,21201
10/25/2013,11/23/2013,11/24/2013,62688,$50.00,"Station North Arts & Entertainment, Inc.",WEEKLY FLEA MARKET,LS,BWL,"Beer, Wine, & Liquor",1500 N. CHARLES,21201
10/25/2013,11/16/2013,11/17/2013,62687,$50.00,"Station North Arts & Entertainment, Inc.",WEEKLY FLEA MARKET,LS,BWL,"Beer, Wine, & Liquor",1500 N. CHARLES,21201
10/25/2013,11/09/2013,11/10/2013,62686,$50.00,"Station North Arts & Entertainment, Inc.",WEEKLY FLEA MARKET,LS,BWL,"Beer, Wine, & Liquor",1500 N. CHARLES,21201
10/25/2013,11/09/2013,11/10/2013,62685,$50.00,"Station North Arts & Entertainment, Inc.",WEEKLY FLEA MARKET,LS,BWL,"Beer, Wine, & Liquor",1500 N. CHARLES,21201
10/29/2013,11/02/2013,11/03/2013,62693,$50.00,BREWERS ASSOCIATION OF MARYLAND INC,BEER & FOOD SAMPLING EVENT,LS,BWL,"Beer, Wine, & Liquor",1212 CATHEDRAL STREET,21201
10/30/2013,12/05/2013,12/06/2013,62694,$50.00,The Associated Jewish Community Federation of Baltimore,Fundaiser,LS,BWL,"Beer, Wine, & Liquor",1301 W Mount Royal Ave,21217
11/01/2013,11/02/2013,11/03/2013,62695,$25.00,"JAMAICAN ASSOCIATION OF MARYLAND, INC.",HALLOWEEN PARTY,WS,BW,Beer & Wines,4229 YORK ROAD,21212
11/01/2013,11/09/2013,11/10/2013,62696,$50.00,"EDUCATION PLUS/BALTIMORE BULE, INC.",FUNDRAISER,LS,BWL,"Beer, Wine, & Liquor",231 29 W. DIVISION STREET,21202
11/01/2013,11/01/2013,11/03/2013,62697,$100.00,"Digit All Systems, Inc.",FUNDRAISER/ PLAY,LS,BWL,"Beer, Wine, & Liquor",401 N. Howard Street,21201
