IssueDate,StartDate,EndDate,certificateNumber,fee,NPOName,LocName,LicenseClass,SubClass,Description,AddrStreet,AddrZip
02/10/2017,02/11/2017,02/12/2017,,,Occasional Symphony,,WS,BW,Beer & Wines,905 W. 36th Street,21211
02/13/2017,03/04/2017,03/05/2017,,,ASSOCIATED CATHOLIC CHARITIES INC.,,LS,BWL,"Beer, Wine, & Liquor",901   W. PRATT STREET,21223
02/17/2017,02/17/2017,02/18/2017,,," THE JAMAICAN ASSOCIATION OF MARYLAND, INC.",,WS,BW,Beer & Wines,4229 YORK ROAD,21218
02/17/2017,02/18/2017,02/19/2017,,,Open The Cages Alliance,,WS,BW,Beer & Wines,6-8 E. Lexington St,21201
02/21/2017,03/03/2017,03/04/2017,,,"BALTIMORE KICKERS, INC.",,WS,BW,Beer & Wines,4810  Gunther Ave,21206
02/21/2017,03/03/2017,03/04/2017,,,"BALTIMORE KICKERS, INC.",,WS,BW,Beer & Wines,4810  Gunther Ave,21206
02/22/2017,02/24/2017,02/25/2017,,," THE JAMAICAN ASSOCIATION OF MARYLAND, INC.",,WS,BW,Beer & Wines,4229 YORK RD,21212
02/24/2017,03/04/2017,03/05/2017,,,"ARENA PLAYERS, INC.",,LS,BWL,"Beer, Wine, & Liquor",801 MCCULLOH STREET,21202
02/24/2017,03/25/2017,03/26/2017,,,"ARENA PLAYERS, INC.",,LS,BWL,"Beer, Wine, & Liquor",1310 RUSSELL ST.,21230
02/24/2017,03/04/2017,03/05/2017,,,"ARENA PLAYERS, INC.",,LS,BWL,"Beer, Wine, & Liquor",801 MCCULLOH STREET,21202
02/24/2017,03/25/2017,03/26/2017,,,"ARENA PLAYERS, INC.",,LS,BWL,"Beer, Wine, & Liquor",1310 RUSSELL ST.,21230
02/24/2017,02/25/2017,02/26/2017,,,"Arcadia Wine, LLC ",,BWT,BWL,3 oz. Beer & 1 oz. Wine Tasting,329 W. 29th St,21211
02/24/2017,02/25/2017,02/26/2017,,,"Arcadia Wine, LLC ",,BWT,BWL,3 oz. Beer & 1 oz. Wine Tasting,329 W. 29th St,21211
02/24/2017,03/03/2017,03/04/2017,,,"GILMAN SCHOOL, INCORPORATED",,LS,BWL,"Beer, Wine, & Liquor",5407 ROLAND AVENUE,21210
02/24/2017,03/03/2017,03/04/2017,,,"GILMAN SCHOOL, INCORPORATED",,LS,BWL,"Beer, Wine, & Liquor",5407 ROLAND AVENUE,21210
02/27/2017,03/24/2017,03/25/2017,,,AMERICAN VISIONARY ART MUSEUM INC.,,WS,BW,Beer & Wines,800 KEY HIGHWAY,21224
02/27/2017,03/24/2017,03/25/2017,,,AMERICAN VISIONARY ART MUSEUM INC.,,WS,BW,Beer & Wines,800 KEY HWY.,21202
02/28/2017,03/02/2017,03/03/2017,,,University of Maryland Francis King Carey School of Law ,,WS,BW,Beer & Wines,519 W. Fayette St,21201
03/02/2017,03/19/2017,03/20/2017,,,Saint Francis of Assisi Church,,WS,BW,Beer & Wines,3615 Harford Rd,21218
03/02/2017,03/19/2017,03/20/2017,,,Saint Francis of Assisi Church,,WS,BW,Beer & Wines,3615 Harford Rd,21218
03/02/2017,03/03/2017,03/04/2017,,,"Root & Culture, Inc.",,WS,BW,Beer & Wines,4229 YORK RD,21212
03/03/2017,03/04/2017,03/05/2017,,,"ARENA PLAYERS, INC.",,LS,BWL,"Beer, Wine, & Liquor",801 MCCULLOH STREET,21202
03/03/2017,03/04/2017,03/05/2017,,,"ARENA PLAYERS, INC.",,LS,BWL,"Beer, Wine, & Liquor",801 MCCULLOH STREET,21202
03/03/2017,03/05/2017,03/06/2017,,,ST. LEO'S ROMAN CATHOLIC CHURCH,,WS,BW,Beer & Wines,908 STILES ST.,21201
03/03/2017,03/05/2017,03/06/2017,,,ST. LEO'S ROMAN CATHOLIC CHURCH,,WS,BW,Beer & Wines,908 STILES ST.,21201
03/03/2017,03/11/2017,03/12/2017,,,"BALTIMORE ROCK OPERA SOCIETY, INC.",,LS,BWL,"Beer, Wine, & Liquor",2640 Saint Paul Street,21218
03/03/2017,03/04/2017,03/05/2017,,,Black Student Union at the University of Baltimore,,LS,BWL,"Beer, Wine, & Liquor",1401  N. Charles St,21201
03/03/2017,03/11/2017,03/12/2017,,,"BALTIMORE ROCK OPERA SOCIETY, INC.",,LS,BWL,"Beer, Wine, & Liquor",2640 Saint Paul Street,21218
03/03/2017,03/04/2017,03/05/2017,,,Black Student Union at the University of Baltimore,,LS,BWL,"Beer, Wine, & Liquor",1401  N. Charles St,21201
03/03/2017,03/12/2017,03/13/2017,,,"Waterfront Partnership of Baltimore, Inc.",,LS,BWL,"Beer, Wine, & Liquor",720 Eastern Avenue,21202
03/03/2017,03/12/2017,03/13/2017,,,"Waterfront Partnership of Baltimore, Inc.",,LS,BWL,"Beer, Wine, & Liquor",720 Eastern Avenue,21202
03/06/2017,03/31/2017,04/01/2017,,,"Patterson Park Public Charter School, Inc.",,WS,BW,Beer & Wines,27 N. Lakewood Avenue,21224
03/06/2017,03/31/2017,04/01/2017,,,"Patterson Park Public Charter School, Inc.",,WS,BW,Beer & Wines,27 N. Lakewood Avenue,21224
03/07/2017,03/19/2017,03/20/2017,,,BREAK THE CYCLE INC.,,LS,BWL,"Beer, Wine, & Liquor",7310 Park Heights Ave,21209
03/07/2017,03/19/2017,03/20/2017,,,BREAK THE CYCLE INC.,,LS,BWL,"Beer, Wine, & Liquor",7310 Park Heights Ave,21209
03/08/2017,03/10/2017,03/12/2017,,," THE JAMAICAN ASSOCIATION OF MARYLAND, INC.",,WS,BW,Beer & Wines,4229 YORK RD,21212
03/08/2017,03/23/2017,03/24/2017,,,"THE ASSOCIATED: JEWISH COMMUNITY FEDERATION OF BALTIMORE, INC.",,WS,BW,Beer & Wines,15 LLOYD STREET,21202
03/09/2017,03/12/2017,03/13/2017,,," PROJECT MILLIONS MORE MOVEMENT BALTIMORE, INCORPORATED",,LS,BWL,"Beer, Wine, & Liquor",7310 Park Heights Ave,21209
03/09/2017,03/09/2017,03/10/2017,,,"MARYLAND ART PLACE, INC.",,LS,BWL,"Beer, Wine, & Liquor",218 W. Saratoga St,21201
03/10/2017,03/11/2017,03/12/2017,,,"Arcadia Wine, LLC ",,BWT,BWL,3 oz. Beer & 1 oz. Wine Tasting,329 W. 29th St,21211
03/10/2017,04/19/2017,04/20/2017,,,"The Women's Law Center of Maryland, Inc.",,WS,BW,Beer & Wines,519 W. FAYETTE ST.,21201
03/13/2017,04/01/2017,04/02/2017,,,Arena Player Inc,,LS,BWL,"Beer, Wine, & Liquor",1310 RUSSELL STREET,21215
03/13/2017,03/26/2017,03/27/2017,,,Arena Player Inc,,LS,BWL,"Beer, Wine, & Liquor",1310 RUSSELL STREET,21215
03/13/2017,03/18/2017,03/20/2017,,,"ARENA PLAYERS, INC.",,LS,BWL,"Beer, Wine, & Liquor",1310 RUSSELL STREET,21230
03/13/2017,03/18/2017,03/19/2017,,,"ARENA PLAYERS, INC.",,LS,BWL,"Beer, Wine, & Liquor",1310 RUSSELL STREET,21230
03/13/2017,03/19/2017,03/20/2017,,,"ARENA PLAYERS, INC.",,LS,BWL,"Beer, Wine, & Liquor",1310 RUSSELL STREET,21230
03/16/2017,04/01/2017,04/02/2017,,,"Hamilton -Lauraville Main Street, Inc",,LS,BWL,"Beer, Wine, & Liquor",4500  Harford Rd.,21214
03/16/2017,03/26/2017,03/27/2017,,,CODE IN THE SCHOOLS INC.,,WS,BW,Beer & Wines,2640 ST. PAUL ST.,21218
03/16/2017,03/18/2017,03/19/2017,,,"The Women's Law Center of Maryland,Inc",,LS,BWL,"Beer, Wine, & Liquor",401   E. 30th St,21218
03/17/2017,03/31/2017,04/09/2017,,,"BALTIMORE FESTIVAL OF THE ARTS, INC.",,LS,BWL,"Beer, Wine, & Liquor",See Permit Row2017- SE1014183,21230
03/17/2017,03/31/2017,04/01/2017,,,"WAVERLY MAIN STREET, INC.",,WS,BW,Beer & Wines,432 E. 32ND STREET,21218
03/17/2017,03/31/2017,04/02/2017,,,"WAVERLY MAIN STREET, INC.",,WS,BW,Beer & Wines,432 E. 32ND STREET,21218
03/17/2017,04/06/2017,04/07/2017,,,"WAVERLY MAIN STREET, INC.",,LS,BWL,"Beer, Wine, & Liquor",432 E. 32ND STREET,21218
03/17/2017,03/18/2017,03/19/2017,,,"The Jamacian Association of Maryland, Inc",,LS,BWL,"Beer, Wine, & Liquor",4229 YORK RD,21212
03/21/2017,04/06/2017,04/07/2017,,,"American Heart Association, inc.",,LS,BWL,"Beer, Wine, & Liquor",210 E. CENTRE STREET,21202
03/22/2017,04/03/2017,04/04/2017,,,University of Maryland Francis King Carey School of Law ,,WS,BW,Beer & Wines,500 W. Baltimore Street,21201
03/22/2017,04/03/2017,04/04/2017,,,University of Maryland Francis King Carey School of Law ,,WS,BW,Beer & Wines,500 W. Baltimore Street,21201
03/22/2017,03/24/2017,03/25/2017,,,"SHREE LLC, RED FISH LIQUORS",,WS,BW,Beer & Wines,4001 Falls Road,21211
03/22/2017,04/08/2017,04/09/2017,,,Department of Recreation Youth & Adults Sports Mayor & City Council,,WS,BW,Beer & Wines,4300 W. BAY AVENUE,21225
03/22/2017,03/31/2017,04/01/2017,,,"ROLAND PARK COUNTRY SCHOOL, INCORPORATED",,LS,BWL,"Beer, Wine, & Liquor",3204  Roland Ave,21210
03/22/2017,03/25/2017,03/26/2017,,,"CATHOLIC COMMUNITY OF SOUTH BALTIMORE, INC.",,WS,BW,Beer & Wines,1532 E. Fort Avenue,21230
03/24/2017,03/25/2017,03/26/2017,,,"Arcadia Wine, LLC ",,BWT,BWL,3 oz. Beer & 1 oz. Wine Tasting,329. W. 29th St,21211
03/24/2017,04/02/2017,04/03/2017,,,Saint Nicholas Greek Orthodox Church,,LS,BWL,"Beer, Wine, & Liquor",701-03 S. PONCA ST.,21224
03/24/2017,04/02/2017,04/03/2017,,,Saint Nicholas Greek Orthodox Church,,LS,BWL,"Beer, Wine, & Liquor",701-03 S. PONCA ST.,21224
03/24/2017,03/25/2017,03/26/2017,,,"Root And Culture., Inc",,LS,BWL,"Beer, Wine, & Liquor",4201 PRIMROSE AVE,21215
03/24/2017,03/25/2017,03/26/2017,,,"Root And Culture., Inc",,LS,BWL,"Beer, Wine, & Liquor",4201 PRIMROSE AVE,21215
03/27/2017,04/01/2017,04/02/2017,,,"BALTIMORE CURRICULUM PROJECT,INC.",,WS,BW,Beer & Wines,500 S. Linwood Ave,21224
03/27/2017,04/01/2017,04/02/2017,,,"BALTIMORE CURRICULUM PROJECT,INC.",,WS,BW,Beer & Wines,500 S. Linwood Ave,21224
03/28/2017,04/08/2017,04/09/2017,,,"ARENA PLAYERS, INC.",,LS,BWL,"Beer, Wine, & Liquor",219 29th Divison St,21211
03/28/2017,04/08/2017,04/09/2017,,,"ARENA PLAYERS, INC.",,LS,BWL,"Beer, Wine, & Liquor",219 29th Divison St,21211
03/28/2017,04/06/2017,04/07/2017,,,MP ILP Annual Auction,,WS,BW,Beer & Wines,519 W. Fayette St,21201
03/28/2017,04/06/2017,04/07/2017,,,MP ILP Annual Auction,,WS,BW,Beer & Wines,519 W. Fayette St,21201
03/29/2017,04/02/2017,04/03/2017,,,"BALTIMORE KICKERS, INC.",,WS,BW,Beer & Wines,4810 Gunter Drive,21206
03/29/2017,04/02/2017,04/03/2017,,,"BALTIMORE KICKERS, INC.",,WS,BW,Beer & Wines,4810 Gunter Drive,21206
03/29/2017,04/08/2017,04/09/2017,,,Baltimore Outreach Services Inc,,LS,BWL,"Beer, Wine, & Liquor",402 N. Howard Street,21201
03/29/2017,04/08/2017,04/09/2017,,,Baltimore Outreach Services Inc,,LS,BWL,"Beer, Wine, & Liquor",402 N. Howard Street,21201
03/30/2017,04/01/2017,04/03/2017,,,"Fells Point Main Street, Inc.",,LS,BWL,"Beer, Wine, & Liquor",See Permit row2017-se1014657,21231
03/30/2017,04/08/2017,04/09/2017,,,Harbor East Management,,LS,BWL,"Beer, Wine, & Liquor",800 Blk of Aliceanna St,21202
03/31/2017,03/31/2017,04/01/2017,,,"JAMAICAN ASSOCIATION OF MARYLAND, INC.",,WS,BW,Beer & Wines,4229 YORK ROAD,21215
04/04/2017,04/23/2017,04/24/2017,,,Baltimore Green Space ,,WS,BW,Beer & Wines,2640 ST. PAUL STREET,21218
04/04/2017,04/23/2017,04/24/2017,,,Baltimore Green Space ,,WS,BW,Beer & Wines,2640 ST. PAUL STREET,21218
04/05/2017,04/08/2017,04/09/2017,,,"ARENA PLAYERS, INC.",,LS,BWL,"Beer, Wine, & Liquor",1300 blk Russell Street,21230
04/05/2017,04/08/2017,04/09/2017,,,"ARENA PLAYERS, INC.",,LS,BWL,"Beer, Wine, & Liquor",1300 blk Russell Street,21230
04/05/2017,04/07/2017,04/08/2017,,," THE JAMAICAN ASSOCIATION OF MARYLAND, INC.",,WS,BW,Beer & Wines,4229 York Rd.,21212
04/05/2017,04/07/2017,04/08/2017,,," THE JAMAICAN ASSOCIATION OF MARYLAND, INC.",,WS,BW,Beer & Wines,4229 York Rd.,21212
04/06/2017,04/06/2017,04/07/2017,,,"THE DOWNTOWN PARTNERSHIP OF BALTIMORE FOUNDATION, INC.",,LS,BWL,"Beer, Wine, & Liquor",400  St. Paul St,21201
04/06/2017,04/06/2017,04/07/2017,,,"THE DOWNTOWN PARTNERSHIP OF BALTIMORE FOUNDATION, INC.",,LS,BWL,"Beer, Wine, & Liquor",400  St. Paul St,21201
04/07/2017,04/07/2017,04/08/2017,,,MARYLAND ART PLACE,,WS,BW,Beer & Wines,218 W. SARATOGA ST.,21201
04/07/2017,04/07/2017,04/08/2017,,,MARYLAND ART PLACE,,WS,BW,Beer & Wines,218 W. SARATOGA ST.,21201
04/07/2017,04/08/2017,04/09/2017,,,"Arcadia Wine, LLC ",,WS,BW,Beer & Wines,329 W. 29th St,21211
04/07/2017,04/08/2017,04/09/2017,,,"Arcadia Wine, LLC ",,WS,BW,Beer & Wines,329 W. 29th St,21211
04/07/2017,04/07/2017,04/08/2017,,,"Shree, LLC T/a Red Fish Liquors",,BWT,BWL,3 oz. Beer & 1 oz. Wine Tasting,4001 Falls Rd,21211
04/10/2017,04/21/2017,04/22/2017,,,Baltimore Visitor Center,,WS,BW,Beer & Wines,"100 Light Street, 12th Floor",21202
04/10/2017,05/19/2017,05/20/2017,,,Baltimore Visitor Center,,WS,BW,Beer & Wines,"100 Light Street, 12th Floor",21202
04/10/2017,04/12/2017,04/13/2017,,,"BALTIMORE CONSERVATORY ASSOCIATION, INC.",,WS,BW,Beer & Wines,3100  Swann Dr.,21217
04/10/2017,04/12/2017,04/13/2017,,,"BALTIMORE CONSERVATORY ASSOCIATION, INC.",,WS,BW,Beer & Wines,3100  Swann Dr.,21217
04/12/2017,05/07/2017,05/08/2017,,,A Child's Place Parent Association,,WS,BW,Beer & Wines,4701 charles,21210
04/12/2017,04/24/2017,04/25/2017,,,"Maryland Defense Counsel, Inc. ",,WS,BW,Beer & Wines,25 S. Charles St,21201
04/12/2017,05/20/2017,05/21/2017,,,"PHILANTHROPIK, INC.",,LS,BWL,"Beer, Wine, & Liquor",35 MARKET PLACE,21202
04/12/2017,04/14/2017,04/16/2017,,," THE JAMAICAN ASSOCIATION OF MARYLAND, INC.",,WS,BW,Beer & Wines,4229 YORK RD,21212
04/12/2017,05/20/2017,05/21/2017,,,"PHILANTHROPIK, INC.",,LS,BWL,"Beer, Wine, & Liquor",35 MARKET PLACE,21202
04/12/2017,04/14/2017,04/16/2017,,," THE JAMAICAN ASSOCIATION OF MARYLAND, INC.",,WS,BW,Beer & Wines,4229 YORK RD,21212
04/13/2017,04/13/2017,04/14/2017,,,"MARYLAND ART PLACE, INC.",,LS,BWL,"Beer, Wine, & Liquor",218 W. Saratoga St,21201
04/13/2017,04/13/2017,04/14/2017,,,"MARYLAND ART PLACE, INC.",,LS,BWL,"Beer, Wine, & Liquor",218 W. Saratoga St,21201
04/13/2017,05/28/2017,05/29/2017,,,Sowebo Arts Inc.,,WS,BW,Beer & Wines,See Permit ROW2017-SE1014279,21223
04/13/2017,05/28/2017,05/29/2017,,,Sowebo Arts Inc.,,WS,BW,Beer & Wines,See Permit ROW2017-SE1014279,21223
04/17/2017,04/22/2017,04/23/2017,,,"Waterfront Partnership of Baltimore, Inc.",,LS,BWL,"Beer, Wine, & Liquor",201 KEY HIGHWAY,21201
04/17/2017,04/22/2017,04/23/2017,,,"Waterfront Partnership of Baltimore, Inc.",,LS,BWL,"Beer, Wine, & Liquor",201 KEY HIGHWAY,21201
04/17/2017,04/22/2017,04/23/2017,,,"SINGLE CARROT THEATRE, INC.",,WS,BW,Beer & Wines,2600 N. Howard Street,21218
04/17/2017,04/22/2017,04/23/2017,,,"SINGLE CARROT THEATRE, INC.",,WS,BW,Beer & Wines,2600 N. Howard Street,21218
04/17/2017,05/12/2017,05/13/2017,,,"CIVIC WORKS, INC.",,LS,BWL,"Beer, Wine, & Liquor",2701 Saint Lo Drive,21213
04/17/2017,05/11/2017,05/12/2017,,,MARYLAND INSTITUTE COLLEGE OF ART,,WS,BW,Beer & Wines,1303 W. Mount Royal Avenue,21209
04/17/2017,05/11/2017,05/12/2017,,,MARYLAND INSTITUTE COLLEGE OF ART,,WS,BW,Beer & Wines,1303 W. Mount Royal Avenue,21209
04/17/2017,04/23/2017,04/24/2017,,,"Scarlet Covering, Inc",,LS,BWL,"Beer, Wine, & Liquor",7310 Park Heights Ave,21209
04/17/2017,04/23/2017,04/24/2017,,,"Scarlet Covering, Inc",,LS,BWL,"Beer, Wine, & Liquor",7310 Park Heights Ave,21209
04/17/2017,04/29/2017,04/30/2017,,,METROPOLITAN COMMUNITY CHURCH OF BALTIMORE,,WS,BW,Beer & Wines,401 E. Monument Street,21201
04/17/2017,04/29/2017,04/30/2017,,,METROPOLITAN COMMUNITY CHURCH OF BALTIMORE,,WS,BW,Beer & Wines,401 E. Monument Street,21201
04/18/2017,04/29/2017,04/30/2017,,,METROPOLITAN COMMUNITY CHURCH OF BALTIMORE,,LS,BWL,"Beer, Wine, & Liquor",401 E. Monument Street,21201
04/18/2017,04/29/2017,04/30/2017,,,METROPOLITAN COMMUNITY CHURCH OF BALTIMORE,,LS,BWL,"Beer, Wine, & Liquor",401 E. Monument Street,21201
04/18/2017,04/22/2017,04/23/2017,,,Baltimore Outreach Services Inc,,WS,BW,Beer & Wines,402 N. Howard Street,21201
04/18/2017,04/22/2017,04/23/2017,,,Baltimore Outreach Services Inc,,LS,BWL,"Beer, Wine, & Liquor",402 N. Howard Street,21201
04/18/2017,04/22/2017,04/23/2017,,,Baltimore Outreach Services Inc,,WS,BW,Beer & Wines,402 N. Howard Street,21201
04/18/2017,04/22/2017,04/23/2017,,,Baltimore Outreach Services Inc,,LS,BWL,"Beer, Wine, & Liquor",402 N. Howard Street,21201
04/18/2017,05/20/2017,05/21/2017,,,"BON SECOURS, INC.",,LS,BWL,"Beer, Wine, & Liquor",5625 O'Donnell Street,21224
04/18/2017,05/20/2017,05/21/2017,,,"BON SECOURS, INC.",,LS,BWL,"Beer, Wine, & Liquor",5625 O'Donnell Street,21224
04/18/2017,04/22/2017,04/23/2017,,,JHU Phi Gamma Delta Fraternity,,WS,BW,Beer & Wines,3400 N. Charles Street-Presidents Garden,21218
04/19/2017,04/29/2017,04/30/2017,,,METROPOLITAN COMMUNITY CHURCH OF BALTIMORE,,LS,BWL,"Beer, Wine, & Liquor",401 E. Monument Street,21201
04/19/2017,04/29/2017,04/30/2017,,,METROPOLITAN COMMUNITY CHURCH OF BALTIMORE,,LS,BWL,"Beer, Wine, & Liquor",401 E. Monument Street,21201
04/20/2017,04/27/2017,05/01/2017,,,JOHNS HOPKINS UNIVERSITY,,LS,BWL,"Beer, Wine, & Liquor",3400 N. CHARLES ST.,21218
04/20/2017,05/19/2017,05/20/2017,,,ZION CHURCH OF THE CITY OF BALTIMORE,,WS,BW,Beer & Wines,400 E. LEXINGTON ST.,21202
04/20/2017,05/06/2017,05/07/2017,,,ZION CHURCH OF THE CITY OF BALTIMORE,,WS,BW,Beer & Wines,400 E. LEXINGTON ST.,21202
04/20/2017,04/23/2017,04/24/2017,,,"FEDERAL HILL MAIN STREET, INC.",,WS,BW,Beer & Wines,1000-1200 blk S. Charles & unit blk Cross,21230
04/20/2017,04/30/2017,05/01/2017,,,"COMMUNITY LAW CENTER, INC.",,LS,BWL,"Beer, Wine, & Liquor",229 LAMBETH ROAD,21218
04/21/2017,04/21/2017,04/22/2017,,,"JAMAICAN ASSOCATION OF MARYLAND, INC.",,WS,BW,Beer & Wines,4229 YORK ROAD,21218
04/21/2017,04/21/2017,04/22/2017,,,"JAMAICAN ASSOCATION OF MARYLAND, INC.",,WS,BW,Beer & Wines,4229 YORK ROAD,21218
04/21/2017,04/29/2017,04/30/2017,,,"CRAIG WILLINGER FUND, INC.",,LS,BWL,"Beer, Wine, & Liquor",See Permit #ROW2017-SE1014597,21217
04/21/2017,04/22/2017,04/23/2017,,,"MARYLAND ART PLACE, INC.",,LS,BWL,"Beer, Wine, & Liquor",218 W. Saratoga St,21201
04/21/2017,04/29/2017,04/30/2017,,,"CRAIG WILLINGER FUND, INC.",,LS,BWL,"Beer, Wine, & Liquor",See Permit #ROW2017-SE1014597,21217
04/21/2017,04/22/2017,04/23/2017,,,"MARYLAND ART PLACE, INC.",,LS,BWL,"Beer, Wine, & Liquor",218 W. Saratoga St,21201
04/24/2017,04/28/2017,04/29/2017,,,"Waterfront Partnership of Baltimore, Inc.",,LS,BWL,"Beer, Wine, & Liquor",1310 Point Street,21231
04/24/2017,05/05/2017,05/06/2017,,,"Waterfront Partnership of Baltimore, Inc.",,LS,BWL,"Beer, Wine, & Liquor",1310 Dock St,21231
04/26/2017,05/03/2017,06/18/2017,,,"THE PRODUCERS CLUB OFMARYLAND,INC",,LS,BWL,"Beer, Wine, & Liquor",3-5 W.NORTH AVE,21201
04/26/2017,05/03/2017,06/17/2017,,,"THE PRODUCERS CLUB OFMARYLAND,INC",,LS,BWL,"Beer, Wine, & Liquor",2-5 W. NORTH AVE,21201
04/26/2017,05/03/2017,06/18/2017,,,"THE PRODUCERS CLUB OFMARYLAND,INC",,LS,BWL,"Beer, Wine, & Liquor",3-5 W.NORTH AVE,21201
04/26/2017,05/03/2017,06/17/2017,,,"THE PRODUCERS CLUB OFMARYLAND,INC",,LS,BWL,"Beer, Wine, & Liquor",2-5 W. NORTH AVE,21201
04/26/2017,04/28/2017,04/30/2017,,,"JAMAICAN ASSOCIATION OF MARYLAND, INC.",,WS,BW,Beer & Wines,4229 York Rd.,21212
04/26/2017,04/27/2017,05/04/2017,,,"Waterfront Partnership of Baltimore, Inc.",,LS,BWL,"Beer, Wine, & Liquor",1310 Point Street,21231
04/26/2017,04/27/2017,05/04/2017,,,"Waterfront Partnership of Baltimore, Inc.",,LS,BWL,"Beer, Wine, & Liquor",1310 Point Street,21231
04/26/2017,04/27/2017,04/28/2017,,,"LIFEBRIDGE HEALTH, INC.",,WS,BW,Beer & Wines,5051 GREENSPRING AVE,21209
04/26/2017,04/27/2017,04/28/2017,,,"LIFEBRIDGE HEALTH, INC.",,WS,BW,Beer & Wines,5051 GREENSPRING AVE,21209
04/26/2017,04/30/2017,05/01/2017,,,"HIGHLANDTOWN COMMUNITY ASSOCIATION, INC.",,LS,BWL,"Beer, Wine, & Liquor",3600-3700 Claremont Street,21281
04/27/2017,04/27/2017,04/28/2017,,,American Lebanese Syrian Associated Charities Inc,,LS,BWL,"Beer, Wine, & Liquor",800 KEY HIGHWAY,21224
04/27/2017,04/29/2017,04/30/2017,,,THE SOARWAY FOUNDATION,,LS,BWL,"Beer, Wine, & Liquor",401 Light Street,21230
04/27/2017,04/27/2017,04/28/2017,,,American Lebanese Syrian Associated Charities Inc,,LS,BWL,"Beer, Wine, & Liquor",800 KEY HIGHWAY,21224
04/27/2017,04/29/2017,04/30/2017,,,THE SOARWAY FOUNDATION,,LS,BWL,"Beer, Wine, & Liquor",401 Light Street,21230
04/27/2017,05/06/2017,05/07/2017,,,"Waterfront Partnership of Baltimore, Inc.",,LS,BWL,"Beer, Wine, & Liquor",See Permit ROW2017-SE1014737,21222
04/27/2017,05/06/2017,05/07/2017,,,"Waterfront Partnership of Baltimore, Inc.",,LS,BWL,"Beer, Wine, & Liquor",See Permit ROW2017-SE1014737,21222
04/27/2017,05/10/2017,05/11/2017,,,"RAVENS ROOST 50 FOUNDATION FOR FAMILIES, INC.",,LS,BWL,"Beer, Wine, & Liquor",1201 Wicomico Street,21230
04/27/2017,05/10/2017,05/11/2017,,,"RAVENS ROOST 50 FOUNDATION FOR FAMILIES, INC.",,LS,BWL,"Beer, Wine, & Liquor",1201 Wicomico Street,21230
04/28/2017,05/10/2017,05/11/2017,,,"Pigtown Main Street, Inc.",,LS,BWL,"Beer, Wine, & Liquor",1300 blk Russell Street,21230
04/28/2017,05/10/2017,05/11/2017,,,"Pigtown Main Street, Inc.",,LS,BWL,"Beer, Wine, & Liquor",1300 blk Russell Street,21230
05/01/2017,05/13/2017,05/14/2017,,,Skatepark of Baltimore,,WS,BW,Beer & Wines,1201 W. 37TH STREET,21211
05/01/2017,05/05/2017,05/07/2017,,," FLOWER MART AT MOUNT VERNON, LTD.",,LS,BWL,"Beer, Wine, & Liquor",See Permit Row2017-SE1014669,20148
05/01/2017,05/05/2017,05/07/2017,,," FLOWER MART AT MOUNT VERNON, LTD.",,LS,BWL,"Beer, Wine, & Liquor",See Permit Row2017-SE1014669,20148
05/02/2017,05/03/2017,05/09/2017,,,Partnership for Baltimore Waterfront Inc,,LS,BWL,"Beer, Wine, & Liquor",1310 Harborpoint,21231
05/02/2017,05/03/2017,05/10/2017,,,Baltimore Partnership,,LS,BWL,"Beer, Wine, & Liquor",1310 Harborpoint,21231
05/02/2017,05/10/2017,05/17/2017,,,Baltimore Partnership,,LS,BWL,"Beer, Wine, & Liquor",1310 Harborpoint,21231
05/02/2017,05/04/2017,05/05/2017,,,"Canton Community Association, Inc.",,LS,BWL,"Beer, Wine, & Liquor",See Permit ROW2017-SE1014946,21224
05/02/2017,05/11/2017,05/12/2017,,,"THE SEED SCHOOL OF MARYLAND, INC.",,LS,BWL,"Beer, Wine, & Liquor",200  Font Hill Ave,21223
05/03/2017,05/06/2017,05/07/2017,,,The Mount Washington School,,WS,BW,Beer & Wines,1801 SULGRAVE AVENUE,21209
05/03/2017,05/06/2017,05/07/2017,,,THE ROYAL THEATER & COMMUNITY HERITAGE CORPORATION (TRTCH),,WS,BW,Beer & Wines,2229 PENNSYLVANIA AVE,21217
05/03/2017,05/06/2017,05/07/2017,,,The Mount Washington School,,WS,BW,Beer & Wines,1801 SULGRAVE AVENUE,21209
05/03/2017,05/06/2017,05/07/2017,,,THE ROYAL THEATER & COMMUNITY HERITAGE CORPORATION (TRTCH),,WS,BW,Beer & Wines,2229 PENNSYLVANIA AVE,21217
05/04/2017,05/12/2017,05/13/2017,,,"Cylburn Arboretum Association, Inc.",,WS,BW,Beer & Wines,4915 GREENSPRING AVENUE,21215
05/04/2017,05/05/2017,05/07/2017,,,"JAMAICAN ASSOCATION OF MARYLAND, INC.",,WS,BW,Beer & Wines,4229 YORK ROAD,21218
05/04/2017,05/05/2017,05/07/2017,,,"JAMAICAN ASSOCATION OF MARYLAND, INC.",,WS,BW,Beer & Wines,4229 YORK ROAD,21218
05/04/2017,05/13/2017,05/14/2017,,,MARYLAND BEVERAGE ASSOCIATION CDC INC.,,LS,BWL,"Beer, Wine, & Liquor",231 29th Division Street,21201
05/05/2017,05/06/2017,05/07/2017,,,"ARENA PLAYERS, INC.",,LS,BWL,"Beer, Wine, & Liquor",801  McCulloh St,21217
